rank,repo,pr_number,pr_title,pr_author,total_comments,reviewer_count,state,pr_url
76,circleci-docs,10156,Updating caching advice,kevintse328,1,1,MERGED,https://github.com/circleci/circleci-docs/pull/10156
77,circleci-docs,9873,mongo 4.4 is required for server 4.9,soulchips,1,1,MERGED,https://github.com/circleci/circleci-docs/pull/9873
78,circleci-docs,10404,Typos -  Developer Toolkit section,benNew89,1,1,MERGED,https://github.com/circleci/circleci-docs/pull/10404
79,circleci-docs,10170,Update users-organizations-and-integrations-guide.adoc,BeFunes,1,1,MERGED,https://github.com/circleci/circleci-docs/pull/10170
80,circleci-docs,10046,Ben/typo update,benNew89,1,1,MERGED,https://github.com/circleci/circleci-docs/pull/10046
81,circleci-docs,9774,Refine adaptive testing documentation,mseong6251,1,1,MERGED,https://github.com/circleci/circleci-docs/pull/9774
82,circleci-docs,9805,Update notifications.adoc,HennaAbbas,1,1,MERGED,https://github.com/circleci/circleci-docs/pull/9805
83,circleci-docs,9797,adding client block to values.yaml,soulchips,1,1,MERGED,https://github.com/circleci/circleci-docs/pull/9797
84,circleci-docs,10367,CIAM-106: Update API docs to mention bearer authentication support,magarpratik,1,1,MERGED,https://github.com/circleci/circleci-docs/pull/10367
85,circleci-docs,10006,Update audit log fields table to match enriched event schema,HennaAbbas,1,1,OPEN,https://github.com/circleci/circleci-docs/pull/10006
86,circleci-docs,10451,docs: align release agent supported versions with chart 1.6.2,avalcepina,1,1,MERGED,https://github.com/circleci/circleci-docs/pull/10451
87,circleci-docs,10043,docs: deprecate pipeline.trigger_parameters.circleci.* and github_app.* values,BeFunes,1,1,MERGED,https://github.com/circleci/circleci-docs/pull/10043
88,circleci-docs,9623,Update scheduled-pipelines.adoc,BeFunes,1,1,MERGED,https://github.com/circleci/circleci-docs/pull/9623
89,circleci-docs,10296,Add full-test-run-paths and test-selection-rules to TIA docs,liamclarkedev,1,1,MERGED,https://github.com/circleci/circleci-docs/pull/10296
90,circleci-docs,9959,Update documentation for test impact analysis setup,mseong6251,1,1,MERGED,https://github.com/circleci/circleci-docs/pull/9959
91,circleci-docs,9718,Adding `executor` key to job reference table (DOCSS-1956),yaningo,1,1,MERGED,https://github.com/circleci/circleci-docs/pull/9718
